Location,Cases,...per 100K people,Deaths,...per 100K people1
United States,"103,804,263","31,625","1,123,836",342
India,"44,690,738","3,271","530,779",39
France,"38,618,509","57,588","161,512",241
Germany,"38,249,060","46,010","168,935",203
Brazil,"37,085,675","17,572","699,310",331
Japan,"33,329,551","26,397","73,046",58
South Korea,"30,615,522","59,207","34,093",66
Italy,"25,603,510","42,462","188,322",312
United Kingdom,"24,528,861","36,701","220,175",329
Russia,"22,086,064","15,298","388,521",269
Turkey,"17,042,722","20,428","101,492",122
Spain,"13,770,429","29,251","119,479",254
Vietnam,"11,526,994","11,950","43,186",45
Australia,"11,401,996","44,953","19,578",77
Argentina,"10,044,957","22,353","130,472",290
Taiwan,"9,970,937","41,865","17,672",74
Netherlands,"8,599,981","49,617","22,992",133
Iran,"7,572,311","9,133","144,933",175
Mexico,"7,483,444","5,866","333,188",261
Indonesia,"6,738,225","2,490","160,941",59
Show more,Show more,Show more,Show more,Show more
Poland,"6,448,577","16,983","119,016",313
Colombia,"6,359,093","12,632","142,339",283
Austria,"5,961,143","67,152","21,970",247
Ukraine,"5,712,034","12,869","119,284",269
Portugal,"5,570,473","54,243","26,266",256
Greece,"5,548,487","51,776","34,779",325
Chile,"5,192,286","27,397","64,273",339
Malaysia,"5,044,718","15,790","36,967",116
Israel,"4,804,188","53,066","12,329",136
Belgium,"4,739,365","41,269","33,814",294
Thailand,"4,728,182","6,791","33,918",49
Czech Republic,"4,619,204","43,293","42,497",398
Canada,"4,617,095","12,283","51,720",138
Peru,"4,487,553","13,803","219,539",675
Switzerland,"4,413,911","51,475","14,210",166
Philippines,"4,077,625","3,772","66,193",61
South Africa,"4,067,067","6,945","102,595",175
Denmark,"3,404,407","58,510","8,296",143
Romania,"3,346,046","17,286","67,736",350
Hong Kong,"2,876,106","38,310","13,467",179
Sweden,"2,699,339","26,244","23,777",231
Slovakia,"2,667,782","48,914","21,036",386
Serbia,"2,500,142","35,999","17,881",257
Iraq,"2,465,545","6,272","25,375",65
Singapore,"2,235,294","39,191","1,722",30
New Zealand,"2,228,291","45,318","2,548",52
Hungary,"2,196,804","22,485","48,762",499
Bangladesh,"2,037,871","1,250","29,445",18
Mainland China,"2,023,904",145,"87,468",6
Georgia,"1,827,537","49,122","16,971",456
Jordan,"1,746,997","17,294","14,122",140
Ireland,"1,704,502","34,494","8,708",176
Pakistan,"1,577,411",728,"30,644",14
Kazakhstan,"1,498,668","8,095","19,071",103
Norway,"1,479,506","27,665","5,213",97
Finland,"1,463,644","26,514","8,967",162
Slovenia,"1,332,121","63,801","7,078",339
Lithuania,"1,308,131","46,940","9,598",344
Bulgaria,"1,297,523","18,600","38,228",548
Morocco,"1,272,490","3,489","16,296",45
Croatia,"1,269,326","31,207","17,987",442
Guatemala,"1,238,247","7,458","20,182",122
Lebanon,"1,232,828","17,982","10,841",158
Costa Rica,"1,209,725","23,967","9,245",183
Bolivia,"1,194,277","10,373","22,365",194
